,ORIGIN_AIRPORT,City,State
0,ABE,"Allentown, Pennsylvania",Pennsylvania
1,ABI,"Abilene, Texas",Texas
2,ABQ,"Albuquerque, New Mexico",New_Mexico
3,ABR,"Aberdeen, South Dakota",South_Dakota
4,ABY,"Albany, Georgia",Georgia
5,ACK,"Nantucket, Massachusetts",Massachusetts
6,ACT,"Waco, Texas",Texas
7,ACV,"Eureka/Arcata, California",California
8,ACY,"Atlantic City, New Jersey",New_Jersey
9,ADK,"Adak Island, Alaska",Alaska
10,ADQ,"Kodiak, Alaska",Alaska
11,AEX,"Alexandria, Louisiana",Louisiana
12,AGS,"Augusta, Georgia",Georgia
13,AKN,"King Salmon, Alaska",Alaska
14,ALB,"Albany, New York",New_York
15,ALO,"Waterloo, Iowa",Iowa
16,AMA,"Amarillo, Texas",Texas
17,ANC,"Anchorage, Alaska",Alaska
18,APN,"Alpena, Michigan",Michigan
19,ASE,"Aspen, Colorado",Colorado
20,ATL,"Atlanta, Georgia",Georgia
21,ATW,"Appleton, Wisconsin",Wisconsin
22,AUS,"Austin, Texas",Texas
23,AVL,"Asheville, North Carolina",North_Carolina
24,AVP,"Scranton/Wilkes-Barre, Pa",Pa
25,AZO,"Kalamazoo, Michigan",Michigan
26,BDL,"Hartford, Ct/Springfield",Ct/Springfield
27,BET,"Bethel, Alaska",Alaska
28,BFL,"Bakersfield, California",California
29,BGM,"Binghamton, New York",New_York
30,BGR,"Bangor, Maine",Maine
31,BHM,"Birmingham, Alabama",Alabama
32,BIL,"Billings, Montana",Montana
33,BIS,"Bismarck, North Dakota",North_Dakota
34,BJI,"Bemidji, Minnesota",Minnesota
35,BLI,"Bellingham, Washington",Washington
36,BMI,"Bloomington, Illinois",Illinois
37,BNA,"Nashville, Tennessee",Tennessee
38,BOI,"Boise, Idaho",Idaho
39,BOS,"Boston, Massachusetts",Massachusetts
40,BPT,"Beaumont/Port Arthur, Texas",Texas
41,BQK,"St. Simons Island, Georgia",Georgia
42,BQN,"Aguadilla, Puerto Rico",Puerto_Rico
43,BRD,"Brainerd, Minnesota",Minnesota
44,BRO,"Brownsville, Texas",Texas
45,BRW,"Barrow, Alaska",Alaska
46,BTM,"Butte, Montana",Montana
47,BTR,"Baton Rouge, Louisiana",Louisiana
48,BTV,"Burlington, Vermont",Vermont
49,BUF,"Buffalo, New York",New_York
50,BUR,"Burbank, California",California
51,BWI,"Baltimore, Maryland",Maryland
52,BZN,"Bozeman, Montana",Montana
53,CAE,"Columbia, South Carolina",South_Carolina
54,CAK,"Akron/Canton, Ohio",Ohio
55,CDC,"Cedar City, Utah",Utah
56,CDV,"Cordova, Alaska",Alaska
57,CEC,"Crescent City, California",California
58,CHA,"Chattanooga, Tennessee",Tennessee
59,CHO,"Charlottesville, Virginia",Virginia
60,CHS,"Charleston, South Carolina",South_Carolina
61,CID,"Cedar Rapids/Iowa City, Iowa",Iowa
62,CIU,"Sault Ste. Marie, Michigan",Michigan
63,CLD,"Carlsbad, California",California
64,CLE,"Cleveland, Ohio",Ohio
65,CLL,"College Station, Texas",Texas
66,CLT,"Charlotte, North Carolina",North_Carolina
67,CMH,"Columbus, Ohio",Ohio
68,CMI,"Champaign, Illinois",Illinois
69,CMX,"Hancock, Michigan",Michigan
70,CNY,"Moab, Utah",Utah
71,COD,"Lovell/Cody, Wyoming",Wyoming
72,COS,"Colorado Springs, Colorado",Colorado
73,COU,"Columbia, Missouri",Missouri
74,CPR,"Casper, Wyoming",Wyoming
75,CRP,"Corpus Christi, Texas",Texas
76,CRW,"Charleston, West Virginia",West_Virginia
77,CSG,"Columbus, Georgia",Georgia
78,CVG,"Cincinnati, Ohio",Ohio
79,CWA,"Wausau, Wisconsin",Wisconsin
80,DAB,"Daytona Beach, Florida",Florida
81,DAL,"Dallas/Ft.Worth, Texas",Texas
82,DAY,"Dayton, Ohio",Ohio
83,DBQ,"Dubuque, Iowa",Iowa
84,DCA,"Washington, D.C.",D.C.
85,DEN,"Denver, Colorado",Colorado
86,DFW,"Dallas/Ft.Worth, Texas",Texas
87,DHN,"Dothan, Alabama",Alabama
88,DIK,"Dickinson, North Dakota",North_Dakota
89,DLG,"Dillingham, Alaska",Alaska
90,DLH,"Duluth, Minnesota",Minnesota
91,DRO,"Durango, Colorado",Colorado
92,DSM,"Des Moines, Iowa",Iowa
93,DTW,"Detroit, Michigan",Michigan
94,DVL,"Devils Lake, North Dakota",North_Dakota
95,EAU,"Eau Claire, Wisconsin",Wisconsin
96,EGE,"Eagle, Colorado",Colorado
97,EKO,"Elko, Nevada",Nevada
98,ELM,"Elmira, New York",New_York
99,ELP,"El Paso, Texas",Texas
100,ERI,"Erie, Pennsylvania",Pennsylvania
101,ESC,"Escanaba, Michigan",Michigan
102,EUG,"Eugene, Oregon",Oregon
103,EVV,"Evansville, Indiana",Indiana
104,EWN,"New Bern, North Carolina",North_Carolina
105,EWR,"Newark, New Jersey",New_Jersey
106,EYW,"Key West, Florida",Florida
107,FAI,"Fairbanks, Alaska",Alaska
108,FAR,"Fargo, North Dakota",North_Dakota
109,FAT,"Fresno, California",California
110,FAY,"Fayetteville, North Carolina",North_Carolina
111,FCA,"Kalispell, Montana",Montana
112,FLG,"Flagstaff, Arizona",Arizona
113,FLL,"Ft. Lauderdale, Florida",Florida
114,FNT,"Flint, Michigan",Michigan
115,FSD,"Sioux Falls, South Dakota",South_Dakota
116,FSM,"Ft. Smith, Arkansas",Arkansas
117,FWA,"Ft. Wayne, Indiana",Indiana
118,GCC,"Gillette, Wyoming",Wyoming
119,GCK,"Garden City, Kansas",Kansas
120,GEG,"Spokane, Washington",Washington
121,GFK,"Grand Forks, North Dakota",North_Dakota
122,GGG,"Longview, Texas",Texas
123,GJT,"Grand Junction, Colorado",Colorado
124,GNV,"Gainesville, Florida",Florida
125,GPT,"Gulfport/Biloxi, Mississippi",Mississippi
126,GRB,"Green Bay, Wisconsin",Wisconsin
127,GRI,"Grand Island, Nebraska",Nebraska
128,GRK,"Killeen, Texas",Texas
129,GRR,"Grand Rapids, Michigan",Michigan
130,GSO,"Greensboro/High Point, Nc",Nc
131,GSP,"Greenville/Spartanburg, Sc",Sc
132,GST,"Gustavus, Alaska",Alaska
133,GTF,"Great Falls, Montana",Montana
134,GTR,"Columbus, Mississippi",Mississippi
135,GUC,"Gunnison, Colorado",Colorado
136,GUM,"Guam Island, Mariana Is.",Mariana_Is.
137,HDN,"Steamboat Springs, Colorado",Colorado
