,Country,Confirmed Covid-19 cases,Recovered Covid-19 cases,Active Covid-19 cases,New Covid-19 cases,Deaths / 100 Covid-19 Cases,Recovered / 100 Covid-19 Cases,Deaths / 100 Recovered Covid-19 cases,1 week % increase Covid-19 cases,WHO Region,temperatures and precipitation,GDP and Gini coefficient.,the amount of precipitation,official language and ethnic groups,weather,area and population,economy of a country.,population size
0,1,4880,2745,1991,117,2.95,56.25,5.25,17,1,0,1,-1,0,0,3,25,14
1,2,907,803,52,10,5.73,88.53,6.48,2.6,1,1,0,37.9,0,0,16,11,37
2,3,37390,26665,10014,73,1.9,71.32,2.67,6.89,1,0,1,-1,21,0,4,28,15
3,4,20558,18246,1599,86,3.47,88.75,3.91,4.13,1,0,1,66,35,0,26,0,41
4,5,30446,23242,6781,396,1.39,76.34,1.82,9.16,1,0,2,-1,12,0,27,0,1
5,6,67251,60492,6221,119,0.8,89.95,0.89,1.57,1,0,2,-1,22,0,38,34,44
6,7,66428,17452,39154,402,14.79,26.27,56.28,3.64,1,7,1,-1,0,5,0,5,4
7,8,10498,4930,5274,731,2.8,46.96,5.96,23.81,1,0,1,-1,0,0,19,3,19
8,9,10621,5585,4689,194,3.27,52.58,6.21,18.95,1,0,1,-1,18,0,32,29,35
9,10,4881,3936,806,24,2.85,80.64,3.53,11.69,1,0,1,-1,23,0,20,0,23
10,11,1060,852,189,3,1.79,80.38,2.23,2.12,1,0,2,-1,2,0,28,17,0
11,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0
12,12,13761,12605,543,109,4.45,91.6,4.86,2.29,1,0,1,50,9,0,0,0,28
13,13,2034,1923,42,0,3.39,94.54,3.59,0.64,1,0,3,-1,0,3,14,35,5
14,14,7398,6920,149,5,4.45,93.54,4.75,0.79,1,0,2,-1,5,2,8,34,26
15,15,220352,81212,108928,2551,13.71,36.86,37.2,2.96,1,0,2,-1,0,0,22,33,33
16,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0
17,16,207112,190314,7673,445,4.41,91.89,4.79,1.86,1,0,1,-1,0,0,10,16,38
18,17,4227,1374,2651,34,4.78,32.51,14.7,5.36,1,0,2,-1,0,0,33,0,3
19,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,-1,0,0,40,0,27
20,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0
21,18,4448,3329,523,13,13.4,74.84,17.9,2.51,1,0,2,-1,8,0,29,34,43
22,19,1854,1823,21,7,0.54,98.33,0.55,0.82,1,0,1,-1,15,0,30,6,18
