,Country,Deaths / 100 Covid-19 Cases,economy of a country,new cases of the covid-19,climate,official Language,geography,spread of the covid-19 virus,population size,ethnic groups,time zone
0,1,2.95,0,4.7,-1,2,3,1991,4,0,2
1,2,5.73,0,0.26,4.7,37,16,52,7,0,2
2,3,1.9,0,4.71,-1,3,4,10014,15,21,0
3,4,3.47,0,0.84,1.6,4,26,1599,5,35,2
4,5,1.39,0,1.6,-1,5,27,6781,9,12,0
5,6,0.8,29,1.4,-1,6,38,6221,8,22,0
6,7,14.79,16,0.71,-1,1,0,39154,7,0,2
7,8,2.8,3,1.4,-1,7,19,5274,8,0,2
8,9,3.27,31,2.16,-1,8,32,4689,12,18,4
9,10,2.85,33,1.09,-1,0,20,806,7,23,2
10,11,1.79,4,9,-1,37,28,189,0,2,4
11,0,-1,0,-1,-1,0,0,-1,0,0,0
12,12,4.45,24,1.74,6.2,9,0,543,16,9,2
13,13,3.39,0,5.16,-1,10,14,42,8,0,4
14,14,4.45,28,9.71,-1,41,8,149,3,5,4
15,15,13.71,35,0.86,-1,11,22,108928,14,0,1
16,0,-1,0,-1,-1,0,0,-1,0,0,0
17,16,4.41,22,1.27,-1,12,10,7673,7,0,2
18,17,4.78,25,1.51,-1,13,33,2651,7,0,4
19,0,-1,38,-1,-1,0,40,-1,7,0,0
20,0,-1,0,-1,-1,42,0,-1,0,0,0
21,18,13.4,25,3.7,-1,14,29,523,8,8,2
22,19,0.54,9,2.07,-1,15,30,21,8,15,0
23,0,-1,0,-1,-1,0,0,-1,0,0,0
24,20,0.74,23,2.71,-1,39,39,36378,0,1,5
25,21,14.26,6,1.24,-1,16,5,12581,7,10,2
26,22,0.69,19,1.7,-1,17,2,29659,7,11,0
27,23,2.5,0,1,-1,0,31,3201,8,31,2
28,24,3.91,5,3.6,-1,18,0,10790,7,29,0
29,25,2.54,0,2.09,-1,19,23,143,7,33,4
30,26,1.16,10,2.7,-1,38,36,4,0,0,3
31,27,3.96,34,1.98,4,20,24,319,8,16,4
32,28,1.77,37,0.23,-1,37,44,1384,13,0,2
33,29,1.28,0,0.001,18.1,37,7,27,6,13,1
34,30,3.23,8,1.4,-1,21,9,6252,1,33,4
35,31,3.45,12,-1,15.2,37,1,8,6,6,2
36,32,1.56,10,2.6,-1,22,0,2039,7,7,2
37,0,-1,15,18.41,7.1,37,0,-1,0,25,0
38,33,4.56,0,1.9,-1,37,43,4183,6,32,2
39,34,2.79,21,5.32,-1,23,11,125,8,28,2
40,35,3.86,14,1.48,-1,24,6,8870,7,14,2
41,36,3.42,0,1.2,-1,25,35,13205,0,17,6
42,37,4.81,16,3,-1,26,41,17902,1,19,4
43,38,1.63,27,13,-1,27,0,201097,8,3,0
44,39,6.01,13,0,10,37,0,0,8,0,2
45,40,2.25,32,-1,-1,28,0,23598,7,20,2
46,41,1.28,30,0.72,-1,40,17,537,7,24,2
47,42,5.56,36,0.7,-1,0,37,238,8,4,2
48,43,10.44,11,0.89,-1,29,18,93613,0,0,7
49,44,7.18,18,8.37,-1,30,15,73695,10,26,2
50,45,5.74,17,4.34,-1,31,12,1599,6,27,2
51,46,0.83,7,1.8,-1,32,34,1147,7,30,0
52,47,2.48,2,2.03,-1,33,25,10920,2,29,0
53,48,2.44,20,7,-1,34,21,28258,11,33,4
54,49,15.19,1,1.51,-1,36,42,254427,7,34,8
55,50,0.57,26,4.9,-1,35,13,9414,7,30,0
