,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpNominalYear,gdpPppYear,gini,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,giniCoefficient,aprHighC,aprLowC,aprMeanC,aprPrecipitationMm,augHighC,augLowC,augMeanC,augPrecipitationMm,d,decHighC,decLowC,decMeanC,decPrecipitationMm,febHighC,febLowC,febMeanC,febPrecipitationMm,janHighC,janLowC,janMeanC,janPrecipitationMm,julHighC,julLowC,julMeanC,julPrecipitationMm,junHighC,junLowC,junMeanC,junPrecipitationMm,location,marHighC,marLowC,marMeanC,marPrecipitationMm,mayHighC,mayLowC,mayMeanC,mayPrecipitationMm,metricFirst,novHighC,novLowC,novMeanC,novPrecipitationMm,octHighC,octLowC,octMeanC,octPrecipitationMm,religion,sepHighC,sepLowC,sepMeanC,sepPrecipitationMm,singleLine,source,width,yearHighC,yearLowC,yearMeanC,yearPrecipitationMm,ethnicGroupsYear,gdpNominalPerCapitaRank,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Confirmed,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
0,1,8,1,10,1,1,2,2,4,24,4,5,3,1,9,6,2020.0,2020.0,34.3,1,2019.0,1,2019.0,8,25,6,1,3,2821977.0,2011.0,254.0,14,4,12,10,4.7,34.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,4880.0,2745.0,1991.0,117.0,6.0,63.0,2.95,56.25,5.25,4171.0,709.0,17.0,1
1,2,0,13,12,6,4,37,2,4,0,4,5,16,9,0,6,2018.0,-1.0,27.21,0,2003.0,1,2019.0,0,11,7,5,0,-1.0,2014.0,465.7,37,7,0,11,0.26,27.21,13.3,1.7,7.5,71.2,25.4,11.4,18.5,85.6,3,7.5,1,3.0,67.9,8.9,1,3.5,37.9,6.9,1,2.2,53.1,26.2,11.4,18.8,60.7,21.9,8.8,15.4,84.2,1,11.7,1,5.8,40.5,17.6,5.3,11.5,89.8,2,10.7,0.6,5.7,68.4,16.0,4.7,10.3,72.4,1,21.4,8.5,14.9,80.9,2,1,150.0,15.6,3.9,9.8,812.3,11,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,907.0,803.0,52.0,10.0,0.0,0.0,5.73,88.53,6.48,884.0,23.0,2.6,1
2,3,18,9,12,2,7,3,0,1,0,8,0,4,2,0,6,2019.0,2019.0,29.9,1,2019.0,1,2019.0,0,28,0,2,0,-1.0,2011.0,262.9,15,15,0,0,4.71,29.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0,-1.0,0,0,198.0,-1.0,-1.0,-1.0,-1.0,6,104.0,127.0,21,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,37390.0,26665.0,10014.0,73.0,6.0,187.0,1.9,71.32,2.67,34981.0,2409.0,6.89,1
3,4,0,10,12,0,6,4,2,4,2,4,5,26,9,0,6,2019.0,2018.0,27.0,1,2020.0,1,2019.0,6,0,0,0,0,-1.0,-1.0,262.6,41,5,14,0,0.84,27.0,7.1,-1.3,2.9,87.0,14.3,7.7,12.2,138.0,0,0.1,3,-3.3,72.0,0.3,3,-3.7,66.0,-0.7,3,-4.5,73.0,16.8,8.0,12.7,148.0,17.4,6.0,10.6,126.0,6,3.5,3,-0.6,80.0,11.8,2.8,7.3,115.0,1,3.7,-2.9,0.4,83.0,9.7,1.6,5.6,74.0,0,15.1,5.6,9.9,96.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,7,15.0,27.0,35,1,17.0,11,15,7,7,0,0,0,-1.0,0,0,-1.0,20558.0,18246.0,1599.0,86.0,1.0,37.0,3.47,88.75,3.91,19743.0,815.0,4.13,1
4,5,0,2,12,3,1,5,0,2,11,8,0,27,3,0,6,2019.0,2019.0,33.7,2,2008.0,1,2019.0,0,0,0,3,0,-1.0,-1.0,293.0,1,9,17,0,1.6,33.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,-1.0,-1.0,-1.0,-1.0,0,0,200.0,-1.0,-1.0,-1.0,-1.0,4,-1.0,-1.0,12,0,-1.0,4,0,0,0,3,0,0,-1.0,0,0,-1.0,30446.0,23242.0,6781.0,396.0,6.0,558.0,1.39,76.34,1.82,27890.0,2556.0,9.16,1
5,6,21,3,12,4,1,6,0,8,0,7,0,38,6,7,6,2020.0,2020.0,25.3,2,2019.0,1,2019.0,9,34,0,0,0,9413446.0,2019.0,120.8,44,8,32,0,1.4,25.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,13,84.0,75.0,22,0,66.0,0,9,1,6,0,29,0,-1.0,0,0,-1.0,67251.0,60492.0,6221.0,119.0,4.0,67.0,0.8,89.95,0.89,66213.0,1038.0,1.57,1
6,7,13,10,12,13,7,1,2,4,0,4,5,0,9,0,6,2020.0,2020.0,25.4,1,2020.0,1,2019.0,0,5,0,11,0,-1.0,-1.0,-1.0,4,7,0,6,0.71,25.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,0,7,33.0,-1.0,-1.0,-1.0,-1.0,0,16.0,26.0,0,0,18.0,0,5,8,3,0,16,5,-1.0,0,0,-1.0,66428.0,17452.0,39154.0,402.0,1.0,14.0,14.79,26.27,56.28,64094.0,2334.0,3.64,1
7,8,22,4,12,0,1,7,2,4,16,4,5,19,4,6,2,2021.0,2021.0,32.7,1,2015.0,1,2019.0,3,3,0,0,0,3531159.0,2013.0,179.0,19,8,3,0,1.4,32.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19,-1.0,-1.0,-1.0,-1.0,0,0,220.0,-1.0,-1.0,-1.0,-1.0,8,89.0,115.0,0,1,77.0,9,10,2,11,0,3,0,47.0,0,0,-1.0,10498.0,4930.0,5274.0,731.0,14.0,375.0,2.8,46.96,5.96,8479.0,2019.0,23.81,1
8,9,19,5,12,5,1,8,4,5,4,6,6,32,5,0,6,2021.0,2021.0,40.0,1,2020.0,2,2019.0,0,29,0,4,0,-1.0,-1.0,166.0,35,12,5,0,2.16,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,129.0,-1.0,-1.0,-1.0,-1.0,6,61.0,68.0,18,0,55.0,12,0,0,0,0,31,0,-1.0,0,0,-1.0,10621.0,5585.0,4689.0,194.0,7.0,230.0,3.27,52.58,6.21,8929.0,1692.0,18.95,1
9,10,1,7,12,7,7,0,2,4,13,4,5,20,11,8,6,2020.0,2020.0,28.3,1,2020.0,1,2019.0,0,0,0,6,9,4284889.0,2011.0,189.0,23,7,20,0,1.09,28.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,190.0,-1.0,-1.0,-1.0,-1.0,6,55.0,77.0,23,0,49.0,20,0,1,0,0,33,0,-1.0,0,0,-1.0,4881.0,3936.0,806.0,24.0,3.0,70.0,2.85,80.64,3.53,4370.0,511.0,11.69,1
