,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpPppYear,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,d,junHighC,religion,source,width,ethnicGroupsYear,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week % increase,WHO Region,octLowC
0,1,8,1,10,1,1,2,2,4,24,4,5,3,1,9,6,2020,1,2019,1,2019,8,25,6,1,3,2821977,2011,254,14,4,12,10,4.7,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,1991,117,6,63,2.95,56.25,5.25,4171,17,1,-1
1,2,0,13,12,6,4,37,2,4,0,4,5,16,9,0,6,-1,0,2003,1,2019,0,11,7,5,0,-1,2014,465.7,37,7,0,11,0.26,3,21.9,1,1,150,11,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,52,10,0,0,5.73,88.53,6.48,884,2.6,1,4.7
2,3,18,9,12,2,7,3,0,1,0,8,0,4,2,0,6,2019,1,2019,1,2019,0,28,0,2,0,-1,2011,262.9,15,15,0,0,4.71,0,-1,6,0,198,6,127,21,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,10014,73,6,187,1.9,71.32,2.67,34981,6.89,1,-1
3,4,0,10,12,0,6,4,2,4,2,4,5,26,9,0,6,2018,1,2020,1,2019,6,0,0,0,0,-1,-1,262.6,41,5,14,0,0.84,0,17.4,0,0,-1,7,27,35,1,17,11,15,7,7,0,0,0,-1,0,0,-1,1599,86,1,37,3.47,88.75,3.91,19743,4.13,1,1.6
4,5,0,2,12,3,1,5,0,2,11,8,0,27,3,0,6,2019,2,2008,1,2019,0,0,0,3,0,-1,-1,293,1,9,17,0,1.6,0,-1,7,0,200,4,-1,12,0,-1,4,0,0,0,3,0,0,-1,0,0,-1,6781,396,6,558,1.39,76.34,1.82,27890,9.16,1,-1
5,6,21,3,12,4,1,6,0,8,0,7,0,38,6,7,6,2020,2,2019,1,2019,9,34,0,0,0,9413446,2019,120.8,44,8,32,0,1.4,0,-1,0,0,-1,13,75,22,0,66,0,9,1,6,0,29,0,-1,0,0,-1,6221,119,4,67,0.8,89.95,0.89,66213,1.57,1,-1
6,7,13,10,12,13,7,1,2,4,0,4,5,0,9,0,6,2020,1,2020,1,2019,0,5,0,11,0,-1,-1,-1,4,7,0,6,0.71,0,-1,2,7,33,0,26,0,0,18,0,5,8,3,0,16,5,-1,0,0,-1,39154,402,1,14,14.79,26.27,56.28,64094,3.64,1,-1
7,8,22,4,12,0,1,7,2,4,16,4,5,19,4,6,2,2021,1,2015,1,2019,3,3,0,0,0,3531159,2013,179,19,8,3,0,1.4,0,-1,19,0,220,8,115,0,1,77,9,10,2,11,0,3,0,47,0,0,-1,5274,731,14,375,2.8,46.96,5.96,8479,23.81,1,-1
8,9,19,5,12,5,1,8,4,5,4,6,6,32,5,0,6,2021,1,2020,2,2019,0,29,0,4,0,-1,-1,166,35,12,5,0,2.16,0,-1,0,0,129,6,68,18,0,55,12,0,0,0,0,31,0,-1,0,0,-1,4689,194,7,230,3.27,52.58,6.21,8929,18.95,1,-1
9,10,1,7,12,7,7,0,2,4,13,4,5,20,11,8,6,2020,1,2020,1,2019,0,0,0,6,9,4284889,2011,189,23,7,20,0,1.09,0,-1,0,0,190,6,77,23,0,49,20,0,1,0,0,33,0,-1,0,0,-1,806,24,3,70,2.85,80.64,3.53,4370,11.69,1,-1
