source,target
Confirmed Covid-19 cases,New Covid-19 cases
Recovered Covid-19 cases,Confirmed Covid-19 cases
Active Covid-19 cases,Confirmed Covid-19 cases
Active Covid-19 cases,Deaths / 100 Recovered Covid-19 cases
Deaths / 100 Covid-19 Cases ,WHO Region
Recovered / 100 Covid-19 Cases,WHO Region
Deaths / 100 Recovered Covid-19 cases,Active Covid-19 cases
1 week % increase Covid-19 cases,WHO Region
WHO Region,Country
the amount of precipitation,temperatures and precipitation
official language and ethnic groups,Country
weather,temperatures and precipitation
